证券代码	时间	红股(10送)	配股(10配)	配股价	红利(10送)
SZ000001	20180712	0.0000	0.0000	0.0000	1.3600
SZ000001	20170721	0.0000	0.0000	0.0000	1.5800
SZ000001	20160616	2.0000	0.0000	0.0000	1.5300
SZ000001	20150413	2.0000	0.0000	0.0000	1.7400
SZ000001	20140612	2.0000	0.0000	0.0000	1.6000
SZ000001	20130620	6.0000	0.0000	0.0000	1.7000
SZ000001	20121019	0.0000	0.0000	0.0000	1.0000
SZ000001	20081031	3.0000	0.0000	0.0000	0.3350
SZ000001	20070618	1.0000	0.0000	0.0000	0.0900
SZ000001	20030929	0.0000	0.0000	0.0000	1.5000
SZ000001	20020723	0.0000	0.0000	0.0000	1.5000
SZ000001	20001106	0.0000	3.0000	8.0000	0.0000
SZ000001	19991018	0.0000	0.0000	0.0000	6.0000
SZ000001	19970825	5.0000	0.0000	0.0000	2.0000
SZ000001	19960527	10.0000	0.0000	0.0000	0.0000
SZ000001	19950925	2.0000	0.0000	0.0000	3.0000
SZ000001	19940711	5.0000	1.0000	5.0000	5.0000
SZ000001	19930524	8.5000	1.0000	16.0000	3.0000
SZ000001	19920323	5.0000	0.0000	0.0000	2.0000
SZ000001	19910817	3.0000	0.0000	0.0000	2.0000
SZ000002	20180823	0.0000	0.0000	0.0000	9.0000
SZ000002	20170829	0.0000	0.0000	0.0000	7.9000
SZ000002	20160729	0.0000	0.0000	0.0000	7.2000
SZ000002	20150721	0.0000	0.0000	0.0000	5.0000
SZ000002	20140508	0.0000	0.0000	0.0000	4.1000
SZ000002	20130516	0.0000	0.0000	0.0000	1.8000
SZ000002	20120705	0.0000	0.0000	0.0000	1.3000
SZ000002	20110527	0.0000	0.0000	0.0000	1.0000
SZ000002	20100518	0.0000	0.0000	0.0000	0.7000
SZ000002	20090608	0.0000	0.0000	0.0000	0.5000
SZ000002	20080616	6.0000	0.0000	0.0000	1.0000
SZ000002	20070516	5.0000	0.0000	0.0000	1.5000
SZ000002	20060721	0.0000	0.0000	0.0000	1.5000
SZ000002	20050629	5.0000	0.0000	0.0000	1.5000
SZ000002	20040526	5.0000	0.0000	0.0000	0.5000
SZ000002	20030523	10.0000	0.0000	0.0000	2.0000
SZ000002	20020717	0.0000	0.0000	0.0000	2.0000
SZ000002	20010821	0.0000	0.0000	0.0000	1.8000
SZ000002	20000817	0.0000	0.0000	0.0000	1.5000
SZ000002	20000110	0.0000	2.7270	7.5000	0.0000
SZ000002	19990806	1.0000	0.0000	0.0000	1.0000
SZ000002	19980710	1.0000	0.0000	0.0000	1.5000
SZ000002	19970714	0.0000	2.3700	4.5000	0.0000
SZ000002	19970627	1.5000	0.0000	0.0000	1.0000
SZ000002	19960806	1.0000	0.0000	0.0000	1.4000
SZ000002	19950704	1.5000	0.0000	0.0000	1.5000
SZ000002	19940621	3.5000	0.0000	0.0000	1.5000
SZ000002	19930405	5.0000	0.0000	0.0000	0.6000
SZ000002	19920330	2.0000	0.0000	0.0000	0.0000
SZ000002	19910608	2.0000	5.0000	4.4000	0.0000
SZ000004	20070528	0.4000	0.0000	0.0000	0.0000
SZ000004	20060818	2.5000	0.0000	0.0000	0.0000
SZ000004	20030619	0.0000	0.0000	0.0000	0.3000
SZ000004	20020624	0.0000	0.0000	0.0000	0.5000
SZ000004	19950830	1.0000	0.0000	0.0000	0.6000
SZ000004	19940517	5.0000	0.0000	0.0000	1.0000
SZ000004	19930524	3.0000	4.0000	10.0000	0.8000
SZ000004	19920427	2.0000	0.0000	0.0000	0.0000
SZ000004	19910628	2.0000	7.0000	0.0000	0.0000
SZ000005	20060731	6.5000	0.0000	0.0000	0.0000
SZ000005	20010716	0.8744	0.0000	0.0000	0.1137
SZ000005	20001221	0.0000	2.7273	4.9500	0.0000
SZ000005	20000831	1.0000	0.0000	0.0000	0.2500
SZ000005	19980821	5.0000	0.0000	0.0000	0.0000
SZ000005	19970825	3.0000	0.0000	0.0000	0.0000
SZ000005	19960813	1.5000	0.0000	0.0000	0.0000
SZ000005	19950726	1.0000	0.0000	0.0000	0.0000
SZ000005	19940923	3.3333	10.0000	3.0000	0.0000
SZ000006	20180622	0.0000	0.0000	0.0000	1.8100
SZ000006	20170616	0.0000	0.0000	0.0000	1.8000
SZ000006	20160617	0.0000	0.0000	0.0000	1.2000
SZ000006	20150619	0.0000	0.0000	0.0000	1.1800
SZ000006	20140609	0.0000	0.0000	0.0000	1.5500
SZ000006	20130620	0.5000	0.0000	0.0000	1.0000
SZ000006	20120711	3.0000	0.0000	0.0000	0.4000
SZ000006	20110614	3.0000	0.0000	0.0000	0.6000
SZ000006	20100513	5.0000	0.0000	0.0000	1.2000
SZ000006	20090626	0.0000	0.0000	0.0000	0.8000
SZ000006	20080429	10.0000	0.0000	0.0000	1.0000
SZ000006	20070529	0.0000	0.0000	0.0000	3.5000
SZ000006	20060628	0.0000	0.0000	0.0000	1.8000
SZ000006	20060112	2.0000	0.0000	0.0000	0.0000
SZ000006	20050630	0.0000	0.0000	0.0000	0.7500
SZ000006	20030724	0.0000	0.0000	0.0000	0.8000
SZ000006	20020819	0.0000	0.0000	0.0000	1.3000
SZ000006	20010829	0.0000	0.0000	0.0000	2.0000
SZ000006	20000721	0.0000	0.0000	0.0000	1.0000
SZ000006	19990721	0.0000	0.0000	0.0000	2.0000
SZ000006	19980730	1.0000	0.0000	0.0000	2.0000
SZ000006	19970709	3.0760	0.0000	0.0000	0.7690
SZ000006	19970328	0.0000	3.0000	12.0000	0.0000
SZ000006	19960729	0.0000	0.0000	0.0000	2.0000
SZ000006	19950711	3.0000	0.0000	0.0000	1.0000
SZ000006	19941227	0.0000	1.5000	5.6000	0.0000
SZ000006	19940627	6.0000	0.0000	0.0000	2.0000
SZ000006	19930607	3.0000	3.0000	12.8000	0.0000
SZ000007	20170522	5.0000	0.0000	0.0000	0.0000
SZ000007	20060814	5.2000	0.0000	0.0000	0.0000
SZ000007	19970703	9.5000	0.0000	0.0000	0.0000
SZ000007	19960902	0.0000	0.0000	0.0000	0.3000
SZ000007	19950802	0.0000	0.0000	0.0000	2.0000
SZ000007	19940630	4.0000	3.0000	4.0000	1.0000
SZ000007	19930531	2.0000	5.0000	9.0000	0.0000
SZ000007	19921109	2.0000	0.0000	0.0000	0.5000
SZ000008	20180607	0.0000	0.0000	0.0000	0.5000
SZ000008	20170602	0.0000	0.0000	0.0000	0.1000
SZ000008	20150924	20.0000	0.0000	0.0000	0.0000
SZ000008	20150313	4.5000	0.0000	0.0000	0.0000
SZ000008	20130528	10.0000	0.0000	0.0000	0.0000
SZ000008	20051213	2.0000	0.0000	0.0000	0.0000
SZ000008	19960905	3.0000	0.0000	0.0000	0.0000
SZ000008	19950830	1.0000	0.0000	0.0000	0.0000
SZ000008	19940919	0.0000	1.5000	3.0000	0.0000
SZ000008	19940616	3.0000	0.0000	0.0000	0.5000
SZ000008	19930531	1.5000	3.0000	10.0000	0.5000
SZ000009	20180727	0.0000	0.0000	0.0000	0.2000
SZ000009	20170816	0.0000	0.0000	0.0000	0.2000
SZ000009	20160721	3.5000	0.0000	0.0000	0.7000
SZ000009	20150806	0.0000	0.0000	0.0000	0.2000
SZ000009	20140709	2.0000	0.0000	0.0000	0.3000
SZ000009	20130726	1.5000	0.0000	0.0000	0.3000
SZ000009	20110803	0.0000	0.0000	0.0000	0.2000
SZ000009	20100827	0.0000	0.0000	0.0000	0.3500
SZ000009	20090806	0.5000	0.0000	0.0000	0.3000
SZ000009	20080516	2.8723	0.0000	0.0000	0.0000
SZ000009	19970807	0.0000	0.0000	0.0000	0.2000
SZ000009	19960807	0.5000	0.0000	0.0000	0.3000
SZ000009	19960424	0.0000	2.4000	2.5500	0.0000
SZ000009	19950721	2.5000	0.0000	0.0000	1.0000
SZ000009	19940616	7.0000	0.0000	0.0000	1.2200
SZ000009	19930412	3.0000	0.0000	0.0000	0.9000
SZ000010	20130719	30.0000	0.0000	0.0000	0.0000
SZ000010	19990531	10.0000	0.0000	0.0000	0.0000
SZ000010	19971210	0.0000	3.0000	5.0000	0.0000
SZ000010	19970725	0.0000	0.0000	0.0000	1.5000
SZ000010	19960722	1.2000	0.0000	0.0000	0.8000
SZ000011	20180629	0.0000	0.0000	0.0000	3.0000
SZ000011	20170526	0.0000	0.0000	0.0000	1.8000
