证券代码	更新日期	总股本(万股)	国家股	发起法人股	法人股	B股	Ｈ股	流通A股	职工股	A2转配股	总资产(千元)	流动资产	固定资产	无形资产	长期投资	流动负债	长期负债	资本公积金	每股公积金	股东权益	主营收入	主营利润	其他利润	营业利润	投资收益	补贴收入	营业外收支	损益调整	利润总额	税后利润	净利润	未分配利润	每股未分配	每股收益	每股净资	调整每股净资	股东权益比率	净资收益率	经营现金流入	经营现金流出	经营现金流量	投资现金流入	投资现金流出	投资现金流量	筹资现金流入	筹资现金流出	筹资现金流量	现金及等价物	应收帐款周转率	存货周转率	股东总数	发行价	发行量	主营业务增长率	税后利润增长率	净资产增长率	总资产增长率
SZ000788	20180930	59598.742	0.000	0.000	0.000	0.000	0.000	59598.543	0.000	0.000	2091881.125	1855750.250	151914.563	3268.529	0.000	888097.375	1378.848	199172.938	0.334	1207651.250	1617137.500	600051.375	0.000	54715.121	-4751.912	0.000	-13.863	0.000	54701.258	54701.258	37952.027	373012.844	0.626	0.064	2.026	2.013	57.730	3.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000789	20180930	61336.438	0.000	0.000	0.000	0.000	0.000	61334.980	0.000	0.000	9172114.000	3666135.250	3833239.750	727334.375	0.000	2834119.500	664463.250	240884.203	0.393	3764526.500	7017522.500	2266219.750	0.000	1848418.250	28454.814	0.000	-60344.293	0.000	1788073.875	1788073.875	871940.750	2703448.500	4.408	1.422	6.137	6.122	41.043	25.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000790	20180930	56032.777	0.000	0.000	0.000	0.000	0.000	55977.195	0.000	0.000	1033797.875	730361.938	225807.875	19985.590	0.000	199918.594	13663.084	39580.621	0.071	820216.250	430833.156	281174.188	0.000	25196.063	-221.232	0.000	1857.062	0.000	27053.123	27053.123	15834.479	119705.875	0.214	0.028	1.464	1.462	79.340	1.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000791	20180930	97112.617	0.000	0.000	0.000	0.000	0.000	97108.992	0.000	0.000	18836874.000	2129192.500	14553678.000	123888.203	0.000	1572479.000	11025902.000	3816410.500	3.930	6056585.000	1727158.875	898351.250	0.000	569244.750	89195.148	0.000	10128.132	0.000	579372.938	579372.938	493487.375	1168137.000	1.203	0.508	6.237	6.237	32.153	8.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000792	20180930	278609.063	0.000	2248.282	2248.282	0.000	0.000	274990.000	0.000	0.000	78408232.000	14428979.000	49554780.000	1145338.000	0.000	30799022.000	26411044.000	9478208.000	3.402	18906222.000	12629190.000	2956396.250	0.000	-935998.063	1668266.375	0.000	-111.780	0.000	-936109.875	-936109.875	-1213345.750	3074600.500	1.104	-0.435	6.254	6.252	24.112	-6.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000793	20180930	199724.547	0.000	7317.767	7317.767	0.000	0.000	192038.719	0.000	0.000	18286692.000	5591535.000	572968.688	195218.156	0.000	3203594.000	4572024.000	3773635.250	1.889	9761747.000	2435264.750	620362.250	0.000	73561.820	228478.781	0.000	13837.550	0.000	87399.367	87399.367	22946.045	3596680.500	1.801	0.012	4.888	4.877	53.382	0.240	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000795	20180930	113368.414	0.000	24471.057	24471.057	0.000	0.000	88637.172	0.000	0.000	2805066.250	2004871.125	570750.500	126546.211	0.000	571518.000	63623.992	1071662.000	0.945	2142502.250	1491316.875	332878.719	0.000	90080.375	-30578.660	0.000	5792.907	0.000	95873.281	95873.281	68515.594	-110326.570	-0.097	0.060	1.890	1.888	76.380	3.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000796	20180930	80300.023	0.000	0.000	0.000	0.000	0.000	80252.266	0.000	0.000	6342117.500	3882482.250	247341.547	132465.078	0.000	2919946.000	873936.188	645610.313	0.804	2338158.000	6927464.000	1253748.500	0.000	423394.094	4858.601	0.000	5729.131	0.000	429123.250	429123.250	311698.875	817276.563	1.018	0.382	2.912	2.893	36.867	14.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000797	20180930	131062.266	0.000	0.000	0.000	0.000	0.000	129944.695	0.000	0.000	15585340.000	14313880.000	461350.938	88088.836	0.000	6362880.000	3577633.750	2492339.750	1.902	5511071.000	2123897.000	396028.625	0.000	310824.063	446.350	0.000	-113.406	0.000	310710.656	310710.656	179434.875	856159.688	0.653	0.137	3.747	3.736	35.361	3.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000798	20180930	31945.500	0.000	0.000	0.000	0.000	0.000	31938.525	0.000	0.000	1058336.125	505587.531	343647.531	14657.290	0.000	228318.656	34891.094	444931.188	1.393	748636.750	429689.125	28292.666	0.000	58562.828	-6774.939	0.000	218.641	0.000	58781.465	58781.465	60357.820	-55833.324	-0.175	0.189	2.343	2.343	70.737	8.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000799	20180930	32492.898	0.000	0.000	0.000	0.000	0.000	32492.898	0.000	0.000	2578329.250	1918166.125	386874.250	89785.773	0.000	453827.563	6503.939	1161259.500	3.574	2117997.750	760100.250	469407.188	0.000	211614.594	15216.981	0.000	4180.529	0.000	215795.125	215795.125	161044.188	418431.625	1.288	0.496	6.518	6.518	82.146	7.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000800	20180930	162750.000	0.000	0.000	0.000	0.000	0.000	141175.406	0.000	0.000	17253346.000	8504172.000	4455088.000	551163.750	0.000	8329787.500	704339.375	2488902.250	1.529	8068457.500	19032328.000	2953010.500	0.000	341137.125	519204.313	0.000	2900.872	0.000	344037.969	344037.969	135120.313	2942200.000	1.808	0.083	4.958	4.931	46.765	1.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000801	20180930	102280.664	0.000	0.000	0.000	0.000	0.000	102280.664	0.000	0.000	5243961.000	4633789.000	347686.063	36314.246	0.000	2674932.500	208834.500	276913.406	0.271	2336737.000	2498217.000	408132.375	0.000	24442.055	-510.843	0.000	3377.069	0.000	27819.125	27819.125	23007.078	974872.875	0.953	0.023	2.285	2.281	44.561	0.980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000802	20180930	71590.023	0.000	32445.990	32445.990	0.000	0.000	38578.836	0.000	0.000	6300719.000	4311374.000	28065.039	41427.695	0.000	1465995.500	5807.306	3174882.250	4.435	4807868.000	353137.438	174376.281	0.000	62588.594	5943.145	0.000	642.717	0.000	63231.309	63231.309	46259.098	868381.500	1.213	0.064	6.716	6.648	76.307	0.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SH000802	20170331	37366304.000	0.000	0.000	0.000	386272.000	0.000	31467592.000	0.000	0.000	4399333888.000	2294123520.000	847629312.000	0.000	0.000	1695493120.000	608022720.000	0.000	0.000	1558764544.000	628920064.000	0.000	0.000	40103008.000	13836920.000	0.000	0.000	0.000	43183260.000	0.000	32527570.000	0.000	0.000	0.087	4.171	0.000	35.431	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000803	20180930	12773.089	0.000	0.000	0.000	0.000	0.000	12773.089	0.000	0.000	1180337.250	456901.719	64900.281	62827.543	0.000	940800.500	96846.000	20099.373	0.157	69788.273	201612.516	45959.684	0.000	-12346.841	-127.920	0.000	-767.069	0.000	-13113.910	-13113.910	-8467.765	-107432.688	-0.841	-0.070	0.546	0.527	5.913	-37.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SH000805	20170331	54585712.000	0.000	0.000	0.000	0.000	0.000	43808760.000	0.000	0.000	6467115008.000	1666207872.000	2263128064.000	0.000	0.000	1871468288.000	819028288.000	0.000	0.000	2976346624.000	1489296896.000	0.000	0.000	85023744.000	6097930.000	0.000	0.000	0.000	85131408.000	0.000	49708248.000	0.000	0.000	0.091	5.452	0.000	46.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000806	20180930	109991.180	0.000	40146.348	40146.348	0.000	0.000	69844.828	0.000	0.000	3239177.500	2290266.000	308010.281	150428.094	0.000	751887.875	435472.781	1093727.500	0.994	1989339.000	578842.063	126610.938	0.000	-136950.391	2072.092	0.000	4414.923	0.000	-132535.469	-132535.469	-116376.016	-318433.000	-0.289	-0.106	1.809	1.793	61.415	-5.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SH000806	20170331	161994752.000	0.000	0.000	0.000	15600.000	0.000	125274272.000	0.000	0.000	126385020928.000	1612742912.000	1656142848.000	0.000	0.000	1256456192.000	6639696896.000	0.000	0.000	10446483456.000	2003574016.000	0.000	0.000	481816192.000	97968880.000	0.000	0.000	0.000	486567936.000	0.000	372977472.000	0.000	0.000	0.230	6.448	0.000	8.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
