SZ002067	景兴纸业	03/27/2019	4.21	4.27	4.07	4.10	312496.97	130650288.00
SZ002067	景兴纸业	03/28/2019	4.12	4.24	4.06	4.21	242428.52	101022208.00
SZ002067	景兴纸业	03/31/2019	4.24	4.38	4.22	4.34	391864.81	169069616.00
SZ002067	景兴纸业	04/01/2019	4.37	4.45	4.31	4.37	357759.59	157106208.00
SZ002067	景兴纸业	04/02/2019	4.40	4.45	4.34	4.44	331375.91	146434496.00
SZ002067	景兴纸业	04/03/2019	4.44	4.55	4.38	4.49	439298.47	196098560.00
SZ002067	景兴纸业	04/07/2019	4.56	4.57	4.37	4.43	385788.97	172108768.00
SZ002067	景兴纸业	04/08/2019	4.42	4.51	4.35	4.51	350294.44	155287232.00
SZ002067	景兴纸业	04/09/2019	4.46	4.55	4.38	4.47	383956.91	171707200.00
SZ002067	景兴纸业	04/10/2019	4.45	4.48	4.37	4.37	229983.13	101538208.00
SZ002067	景兴纸业	04/11/2019	4.34	4.38	4.26	4.31	208346.72	89827968.00
SZ002067	景兴纸业	04/14/2019	4.34	4.37	4.17	4.17	301463.56	129152656.00
SZ002067	景兴纸业	04/15/2019	4.18	4.25	4.10	4.24	203923.27	85158216.00
SZ002067	景兴纸业	04/16/2019	4.23	4.33	4.23	4.30	216118.80	92608760.00
SZ002067	景兴纸业	04/17/2019	4.29	4.31	4.24	4.25	151611.91	64657220.00
SZ002067	景兴纸业	04/18/2019	4.25	4.32	4.20	4.30	161664.92	68929016.00
SZ002067	景兴纸业	04/21/2019	4.32	4.33	4.17	4.20	185586.41	78666416.00
SZ002067	景兴纸业	04/22/2019	4.20	4.22	4.13	4.17	131420.00	54934336.00
SZ002067	景兴纸业	04/23/2019	4.16	4.22	4.11	4.22	156815.53	65406108.00
SZ002067	景兴纸业	04/24/2019	4.21	4.21	4.03	4.05	162125.77	66756636.00
SZ002067	景兴纸业	04/25/2019	3.95	4.03	3.91	3.93	147349.39	58625064.00
SZ002067	景兴纸业	04/28/2019	3.94	3.98	3.76	3.81	155095.67	59911028.00
SZ002067	景兴纸业	04/29/2019	3.79	3.87	3.71	3.83	86124.94	32932322.00
SZ002067	景兴纸业	04/30/2019	3.79	3.87	3.71	3.83	86125.00	32932321280.00
