日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'002067,景兴纸业,3.79,3.87,3.71,3.83,8612494,32932321.19
2019-04-29,'002067,景兴纸业,3.94,3.98,3.76,3.81,15509567,59911028.65
2019-04-26,'002067,景兴纸业,3.95,4.03,3.91,3.93,14734939,58625065.58
2019-04-25,'002067,景兴纸业,4.21,4.21,4.03,4.05,16212576,66756634.67
2019-04-24,'002067,景兴纸业,4.16,4.22,4.11,4.22,15681553,65406107.5
2019-04-23,'002067,景兴纸业,4.2,4.22,4.13,4.17,13142000,54934337.0
2019-04-22,'002067,景兴纸业,4.32,4.33,4.17,4.2,18558639,78666414.05
2019-04-19,'002067,景兴纸业,4.25,4.32,4.2,4.3,16166492,68929018.62
2019-04-18,'002067,景兴纸业,4.29,4.31,4.24,4.25,15161191,64657218.75
2019-04-17,'002067,景兴纸业,4.23,4.33,4.23,4.3,21611879,92608758.18
2019-04-16,'002067,景兴纸业,4.18,4.25,4.1,4.24,20392326,85158212.8
2019-04-15,'002067,景兴纸业,4.34,4.37,4.17,4.17,30146356,129152656.18
2019-04-12,'002067,景兴纸业,4.34,4.38,4.26,4.31,20834673,89827968.72
2019-04-11,'002067,景兴纸业,4.45,4.48,4.37,4.37,22998311,101538209.8
2019-04-10,'002067,景兴纸业,4.46,4.55,4.38,4.47,38395692,171707193.8
2019-04-09,'002067,景兴纸业,4.42,4.51,4.35,4.51,35029445,155287239.65
2019-04-08,'002067,景兴纸业,4.56,4.57,4.37,4.43,38578894,172108770.41
2019-04-04,'002067,景兴纸业,4.44,4.55,4.38,4.49,43929848,196098555.53
2019-04-03,'002067,景兴纸业,4.4,4.45,4.34,4.44,33137593,146434499.36
2019-04-02,'002067,景兴纸业,4.37,4.45,4.31,4.37,35775959,157106213.96
2019-04-01,'002067,景兴纸业,4.24,4.38,4.22,4.34,39186480,169069617.78
2019-03-29,'002067,景兴纸业,4.12,4.24,4.06,4.21,24242853,101022207.02
2019-03-28,'002067,景兴纸业,4.21,4.27,4.07,4.1,31249697,130650285.41
2019-03-27,'002067,景兴纸业,4.4,4.45,4.19,4.28,39421158,168681103.14
2019-03-26,'002067,景兴纸业,4.3,4.42,4.23,4.33,56104089,242864555.91
2019-03-25,'002067,景兴纸业,4.14,4.62,4.1,4.28,62557930,272307737.82
2019-03-22,'002067,景兴纸业,4.16,4.22,4.1,4.2,30543439,127233617.3
2019-03-21,'002067,景兴纸业,4.15,4.24,4.14,4.16,40828738,171576571.51
2019-03-20,'002067,景兴纸业,4.17,4.21,4.06,4.17,30635051,126597978.09
2019-03-19,'002067,景兴纸业,4.25,4.25,4.15,4.19,26207198,110035166.23
2019-03-18,'002067,景兴纸业,4.15,4.25,4.08,4.25,40517629,169184684.37
2019-03-15,'002067,景兴纸业,4.08,4.2,4.02,4.18,37850039,155913745.12
2019-03-14,'002067,景兴纸业,4.1,4.15,3.95,4.06,35849863,144431589.12
2019-03-13,'002067,景兴纸业,4.15,4.3,4.11,4.14,46886244,196784614.0
2019-03-12,'002067,景兴纸业,4.13,4.22,4.08,4.16,41850543,173777304.96
2019-03-11,'002067,景兴纸业,3.93,4.1,3.91,4.09,30838248,123537227.24
2019-03-08,'002067,景兴纸业,4.17,4.18,3.92,3.92,46432784,189431551.69
2019-03-07,'002067,景兴纸业,4.09,4.26,4.05,4.24,54478491,228025867.88
2019-03-06,'002067,景兴纸业,4.02,4.1,3.98,4.1,47064300,190609070.71
2019-03-05,'002067,景兴纸业,3.96,4.04,3.93,4.02,31569446,125885161.59
2019-03-04,'002067,景兴纸业,3.94,4.06,3.94,3.98,43403577,173184662.08
2019-03-01,'002067,景兴纸业,3.98,3.98,3.87,3.94,35188692,137834863.89
